species,body_mass,forearm,age,sex,year
Artibeus lituratus,84,72.1,adult,female,2010
Artibeus lituratus,89,71.1,adult,female,2010
Artibeus lituratus,90,76.8,adult,female,2010
Artibeus lituratus,84,73.4,adult,female,2010
Artibeus lituratus,93,75.2,adult,male,2010
Artibeus lituratus,83,79,adult,female,2010
Artibeus lituratus,90,76.2,adult,female,2010
Artibeus lituratus,71,70.2,adult,male,2010
Artibeus lituratus,87,70.6,adult,female,2010
Artibeus lituratus,66,70.5,adult,male,2010
Artibeus lituratus,75,73.6,adult,male,2010
Artibeus lituratus,80,72.9,adult,male,2010
Artibeus lituratus,85,70.6,adult,female,2010
Artibeus lituratus,71,71.7,adult,female,2010
Artibeus lituratus,84,72.6,adult,female,2010
Artibeus lituratus,79,72.8,adult,male,2010
Artibeus lituratus,93,75.5,adult,male,2010
Artibeus lituratus,76,68.9,adult,male,2010
Artibeus lituratus,81,72.3,adult,female,2010
Artibeus lituratus,95,74.1,adult,female,2010
Artibeus lituratus,84,71.6,adult,male,2010
Artibeus lituratus,86,71.8,adult,female,2010
Artibeus lituratus,85,71.6,adult,male,2010
Artibeus lituratus,76,73.2,adult,male,2010
Artibeus lituratus,72,71.7,adult,male,2010
Artibeus lituratus,80,67.6,adult,male,2010
Artibeus lituratus,79,72.9,adult,female,2010
Artibeus lituratus,80,69.6,adult,male,2010
Artibeus lituratus,80,67.7,adult,male,2016
Artibeus lituratus,83,72.5,adult,female,2016
Artibeus lituratus,89,74,adult,female,2016
Artibeus lituratus,69,71,adult,male,2016
Artibeus lituratus,68,71.1,adult,male,2012
Artibeus lituratus,84,72.2,adult,female,2012
Artibeus lituratus,69,71.4,adult,male,2012
Artibeus lituratus,86,71.7,adult,female,2012
Artibeus lituratus,71,71.8,adult,female,2011
Artibeus lituratus,78,69.6,adult,male,2011
Artibeus lituratus,74,71.5,adult,female,2011
Artibeus lituratus,87,73.3,adult,male,2011
Artibeus lituratus,83,73.4,adult,male,2011
Artibeus lituratus,76,71.2,adult,male,2011
Artibeus lituratus,79,75,adult,female,2011
Artibeus lituratus,64,71.3,adult,male,2011
Artibeus lituratus,83,74.8,adult,female,2011
Artibeus lituratus,78,76.9,adult,male,2010
Artibeus lituratus,75,68.3,adult,female,2010
Artibeus lituratus,74,68.9,adult,male,2010
Artibeus lituratus,56,68.8,adult,male,2010
Artibeus lituratus,83,70.5,adult,female,2010
Artibeus lituratus,82,69.5,adult,female,2010
Artibeus lituratus,86,73.5,adult,female,2010
Artibeus lituratus,77,68.6,adult,male,2010
Artibeus lituratus,75,70.8,adult,female,2010
Artibeus lituratus,83,70.4,adult,female,2010
Artibeus lituratus,82,74.1,adult,male,2010
Artibeus lituratus,82,68.8,adult,male,2010
Artibeus lituratus,92,71.1,adult,female,2010
Artibeus lituratus,78,71.2,adult,male,2010
Artibeus lituratus,87,74.5,adult,male,2010
Artibeus lituratus,95,74.6,adult,female,2010
Artibeus lituratus,82,73.8,adult,male,2010
Artibeus lituratus,92,76.1,adult,female,2014
Artibeus lituratus,80,71.6,adult,male,2014
Artibeus lituratus,72,71.6,adult,male,2014
Artibeus lituratus,76,69.1,adult,female,2014
Artibeus lituratus,50,69.4,juvenile,male,2014
Artibeus lituratus,73,73.2,adult,male,2014
Artibeus lituratus,75,71.9,adult,male,2014
Artibeus lituratus,81,70.4,adult,female,2013
Artibeus lituratus,96,75.2,adult,female,2013
Artibeus lituratus,84,71.7,adult,female,2013
Artibeus lituratus,71,70.9,adult,male,2013
Artibeus lituratus,99,71.2,adult,female,2013
Artibeus lituratus,71,72.8,adult,male,2013
Artibeus lituratus,84,73.4,adult,female,2013
Artibeus lituratus,84,73.4,adult,female,2013
Artibeus lituratus,65,68.2,adult,male,2013
Artibeus lituratus,73,69.1,adult,male,2013
Artibeus lituratus,91,70.3,adult,female,2013
Artibeus lituratus,80,73.8,adult,male,2013
Artibeus lituratus,71,70,adult,male,2013
Artibeus lituratus,82,71.3,adult,female,2013
Artibeus lituratus,84,74.3,adult,female,2013
Artibeus lituratus,81,70.5,adult,female,2013
Artibeus lituratus,68,71.5,adult,male,2013
Artibeus lituratus,72,69.6,adult,male,2013
Artibeus lituratus,92,72.5,adult,female,2013
Artibeus lituratus,80,73.8,adult,female,2013
Artibeus lituratus,86,70.8,adult,female,2013
Artibeus lituratus,74,72.9,adult,male,2013
Artibeus lituratus,73,70.2,adult,male,2013
Artibeus lituratus,80,74.1,adult,male,2013
Artibeus lituratus,82,71.4,adult,male,2013
Artibeus lituratus,93,73.5,adult,female,2013
Artibeus lituratus,89,72.4,adult,female,2013
Artibeus lituratus,69,68.5,adult,male,2013
Artibeus lituratus,84,67.1,adult,female,2013
Artibeus lituratus,77,60.2,adult,female,2013
Artibeus lituratus,74,72.3,adult,female,2013
Artibeus lituratus,85,70.8,adult,female,2013
Artibeus lituratus,71,71.1,adult,male,2014
Artibeus lituratus,93,69.8,adult,female,2014
Artibeus lituratus,75,71.4,adult,male,2014
Artibeus lituratus,57,73.2,juvenile,male,2014
Artibeus lituratus,66,73,juvenile,male,2014
Artibeus lituratus,63,69.5,juvenile,female,2014
Artibeus lituratus,74,72.9,adult,female,2014
Artibeus lituratus,64,73.7,juvenile,female,2014
Artibeus lituratus,75,68.4,adult,male,2014
Artibeus lituratus,79,72.5,adult,female,2014
Artibeus lituratus,61,70.9,juvenile,male,2014
Artibeus lituratus,51,71.6,juvenile,male,2014
Artibeus lituratus,50,67.9,juvenile,male,2014
Artibeus lituratus,74,70.3,adult,male,2014
Artibeus lituratus,83,70.6,adult,female,2014
Artibeus lituratus,80,72.7,adult,female,2014
Artibeus lituratus,69,75.2,juvenile,female,2014
Artibeus lituratus,85,73.8,adult,female,2014
Artibeus lituratus,73,67.7,adult,female,2014
Artibeus lituratus,74,71.3,adult,male,2014
Artibeus lituratus,62,68.7,juvenile,female,2014
Artibeus lituratus,79,72.2,adult,female,2014
Artibeus lituratus,71,69,adult,male,2014
Artibeus lituratus,60,69.6,juvenile,female,2014
Artibeus lituratus,60,70.5,juvenile,female,2014
Artibeus lituratus,94,75.9,adult,female,2014
Artibeus lituratus,75,73,adult,male,2014
Artibeus lituratus,67,72.7,juvenile,female,2014
Artibeus lituratus,69,70.4,adult,male,2014
Artibeus lituratus,77,72.7,adult,male,2014
Artibeus lituratus,64,73.1,adult,male,2014
Artibeus lituratus,41,66.6,juvenile,female,2014
Artibeus lituratus,59,68.8,juvenile,male,2014
Artibeus lituratus,62,69.3,juvenile,male,2014
Artibeus lituratus,69,74.9,juvenile,male,2014
Artibeus lituratus,72,71.8,juvenile,male,2014
Artibeus lituratus,67,70.7,juvenile,female,2014
Artibeus lituratus,84,70.7,adult,female,2014
Artibeus lituratus,97,69.3,adult,female,2014
Artibeus lituratus,98,75.1,adult,female,2014
Artibeus lituratus,70,70.8,adult,male,2014
Artibeus lituratus,71,72.1,juvenile,male,2014
Artibeus lituratus,91,76.8,adult,female,2014
Artibeus lituratus,77,70.3,adult,female,2014
Artibeus lituratus,96,67.3,adult,female,2014
Artibeus lituratus,92,73.1,adult,female,2014
Artibeus lituratus,63,70,juvenile,female,2014
Artibeus lituratus,76,71.1,adult,female,2014
Artibeus lituratus,51,68.3,juvenile,male,2014
Artibeus lituratus,73,73.7,adult,female,2014
Artibeus lituratus,71,71.4,adult,female,2014
Artibeus lituratus,79,72.4,adult,female,2014
Artibeus lituratus,69,72.5,adult,male,2014
Artibeus lituratus,64,73.9,juvenile,female,2014
Artibeus lituratus,71,71.6,adult,male,2014
Artibeus lituratus,66,71.1,adult,male,2014
Artibeus lituratus,68,69.9,adult,male,2014
Artibeus lituratus,74,72.6,adult,female,2014
Artibeus lituratus,72,68.9,adult,male,2014
Artibeus lituratus,73,71.3,adult,female,2014
Artibeus lituratus,73,71.2,adult,male,2014
Artibeus lituratus,62,72.2,juvenile,female,2014
Artibeus lituratus,90,68.6,adult,female,2014
Artibeus lituratus,75,71.5,adult,female,2014
Artibeus lituratus,69,70.5,adult,female,2014
Artibeus lituratus,98,70.7,adult,female,2014
Artibeus lituratus,76,74.6,adult,female,2014
Artibeus lituratus,74,68.4,adult,female,2014
Artibeus lituratus,86,71.8,adult,female,2014
Artibeus lituratus,71,72.3,adult,male,2014
Artibeus lituratus,69,71.4,adult,female,2014
Artibeus lituratus,69,72.4,adult,female,2014
Artibeus lituratus,81,69.6,adult,female,2014
Artibeus lituratus,87,71.5,adult,female,2014
Artibeus lituratus,71,71.9,adult,male,2014
Artibeus lituratus,62,67.9,adult,male,2014
Artibeus lituratus,65,73.6,juvenile,female,2014
Artibeus lituratus,67,69.9,adult,female,2014
Artibeus lituratus,71,71.5,juvenile,female,2014
Artibeus lituratus,68,73.5,juvenile,female,2014
Artibeus lituratus,88,71.3,adult,female,2014
Artibeus lituratus,66,68.9,adult,male,2014
Artibeus lituratus,80,70.8,adult,female,2014
Artibeus lituratus,68,71.7,juvenile,male,2014
Artibeus lituratus,65,71.6,juvenile,female,2014
Artibeus lituratus,63,72.1,adult,male,2014
Artibeus lituratus,64,66.2,adult,female,2014
Artibeus lituratus,63,69.2,juvenile,female,2014
Artibeus lituratus,77,72.5,adult,female,2014
Artibeus lituratus,72,71.2,adult,male,2014
Artibeus lituratus,72,71.6,juvenile,male,2014
Artibeus lituratus,93,71.8,adult,female,2014
Artibeus lituratus,88,69.9,adult,female,2014
Artibeus lituratus,83,72.9,adult,female,2014
Artibeus lituratus,71,69.5,adult,female,2014
Artibeus lituratus,70,71.5,adult,male,2014
Artibeus lituratus,70,73.1,juvenile,male,2014
Artibeus lituratus,81,70.5,adult,female,2014
Artibeus lituratus,71,72.1,juvenile,male,2014
Artibeus lituratus,85,72.8,adult,female,2014
Artibeus lituratus,101,72.9,adult,female,2014
Artibeus lituratus,64,70.1,juvenile,male,2014
Artibeus lituratus,84,72.8,adult,female,2014
Artibeus lituratus,76,74.6,adult,female,2014
Artibeus lituratus,80,72.1,adult,female,2014
Artibeus lituratus,61,66.4,adult,male,2014
Artibeus lituratus,72,72.1,adult,male,2014
Artibeus lituratus,67,70.9,adult,male,2014
Artibeus lituratus,76,72.9,adult,female,2014
Artibeus lituratus,78,69.5,adult,female,2014
Artibeus lituratus,80,75.7,adult,female,2014
Artibeus lituratus,71,72.5,juvenile,female,2014
Artibeus lituratus,71,71.3,adult,male,2014
Artibeus lituratus,84,71.4,adult,female,2014
Artibeus lituratus,73,75.9,juvenile,male,2014
Artibeus lituratus,77,70.3,adult,female,2014
Artibeus lituratus,78,71.9,adult,female,2014
Artibeus lituratus,66,71.5,adult,male,2014
Artibeus lituratus,75,72.6,juvenile,male,2014
Artibeus lituratus,72,70.8,adult,male,2014
Artibeus lituratus,97,69.1,adult,female,2014
Artibeus lituratus,82,72.9,adult,female,2014
Artibeus lituratus,72,72.1,adult,male,2014
Artibeus lituratus,106,73.9,adult,female,2014
Artibeus lituratus,70,71.9,adult,female,2014
Artibeus lituratus,64,71.7,adult,male,2014
Artibeus lituratus,49,73.9,juvenile,female,2014
Artibeus lituratus,72,70.8,adult,male,2014
Artibeus lituratus,65,72.2,juvenile,female,2014
Artibeus lituratus,86,74.9,adult,female,2014
Artibeus lituratus,76,70.6,adult,male,2014
Artibeus lituratus,74,71.9,adult,female,2014
Artibeus lituratus,71,75.2,juvenile,female,2014
Artibeus lituratus,70,71.6,adult,female,2014
Artibeus lituratus,82,73.1,adult,female,2014
Artibeus lituratus,79,70.6,adult,female,2014
Artibeus lituratus,70,69.1,adult,male,2014
Artibeus lituratus,67,69.3,adult,male,2014
Artibeus lituratus,75,71.1,juvenile,male,2014
Artibeus lituratus,78,71.5,adult,female,2014
Artibeus lituratus,98,75.5,adult,female,2014
Artibeus lituratus,70,70.1,adult,male,2014
Artibeus lituratus,83,72.6,adult,female,2014
Artibeus lituratus,78,70.7,adult,female,2014
Artibeus lituratus,87,75.8,adult,female,2014
Artibeus lituratus,86,69.3,adult,female,2014
Artibeus lituratus,99,75.1,adult,female,2014
Artibeus lituratus,75,70.9,adult,female,2014
Artibeus lituratus,84,72.3,adult,female,2014
Artibeus lituratus,56,71.7,juvenile,male,2014
Artibeus lituratus,69,68.7,adult,male,2014
Artibeus lituratus,83,73.3,adult,female,2014
Artibeus lituratus,56,70.5,juvenile,male,2014
Artibeus lituratus,69,69.4,adult,male,2014
Artibeus lituratus,75,73.7,adult,male,2014
Artibeus lituratus,77,74,adult,female,2014
Artibeus lituratus,82,76.2,adult,female,2014
Artibeus lituratus,77,70.3,adult,male,2014
Artibeus lituratus,81,71.6,adult,male,2014
Artibeus lituratus,69,70.9,adult,male,2014
Artibeus lituratus,78,72.1,adult,male,2014
Artibeus lituratus,71,72.5,adult,female,2014
Artibeus lituratus,66,69.3,adult,male,2014
Artibeus lituratus,66,68.2,adult,male,2014
Artibeus lituratus,71,69.8,adult,male,2014
Artibeus lituratus,64,67.7,adult,male,2014
Artibeus lituratus,78,72.7,adult,female,2014
Artibeus lituratus,99,73.2,adult,female,2016
Artibeus lituratus,91,74.2,adult,female,2016
Artibeus lituratus,80,72.4,adult,female,2016
Artibeus lituratus,80,71.5,adult,female,2016
Artibeus lituratus,81,73.6,adult,male,2016
Artibeus lituratus,58,70.1,juvenile,male,2016
Artibeus lituratus,75,72.5,adult,female,2016
Artibeus lituratus,76,69.9,adult,female,2016
Artibeus lituratus,82,70,adult,female,2016
Artibeus lituratus,83,73,adult,female,2016
Artibeus lituratus,83,73.8,adult,female,2016
Artibeus lituratus,75,68,adult,female,2016
Artibeus lituratus,85,72.3,adult,female,2016
Artibeus lituratus,80,69.2,adult,female,2016
Artibeus lituratus,75,69.6,adult,female,2016
Artibeus lituratus,83,74.1,adult,female,2016
Artibeus lituratus,72,73.5,adult,female,2016
Artibeus lituratus,73,73.1,adult,female,2016
Artibeus lituratus,78,70.2,adult,female,2016
Artibeus lituratus,83,71.5,adult,female,2016
Artibeus lituratus,85,75.3,adult,female,2016
Artibeus lituratus,82,70.3,adult,female,2016
Artibeus lituratus,78,73.1,adult,female,2016
Artibeus lituratus,81,69.9,adult,male,2016
Artibeus lituratus,92,74.9,adult,female,2016
Artibeus lituratus,91,74.3,adult,female,2016
Artibeus lituratus,77,71.8,adult,male,2016
Artibeus lituratus,80,74.7,adult,female,2016
Artibeus lituratus,79,69.8,adult,female,2016
Artibeus lituratus,88,75.2,adult,female,2016
Artibeus lituratus,85,70.6,adult,female,2016
Artibeus lituratus,69,71.3,juvenile,female,2016
Artibeus lituratus,74,71.2,adult,male,2016
Artibeus lituratus,80,73,adult,male,2016
Artibeus lituratus,82,73.2,adult,female,2016
Artibeus lituratus,83,72,adult,male,2016
Artibeus lituratus,57,71.2,juvenile,female,2016
Artibeus lituratus,63,71.9,juvenile,female,2016
Artibeus lituratus,63,75.6,juvenile,female,2016
Artibeus lituratus,64,69.5,juvenile,male,2016
Artibeus lituratus,76,77.9,adult,female,2016
Artibeus lituratus,70,70,adult,male,2016
Artibeus lituratus,73,69.1,adult,female,2016
Artibeus lituratus,54,70.9,juvenile,male,2016
Artibeus lituratus,84,71.06,adult,female,2016
Artibeus lituratus,69,69.8,juvenile,female,2016
Artibeus lituratus,83,71.9,adult,female,2016
Artibeus lituratus,60,70.7,juvenile,female,2016
Artibeus lituratus,70,70.3,adult,male,2016
Artibeus lituratus,77,73.3,adult,male,2016
Artibeus lituratus,82,73.2,adult,male,2016
Artibeus lituratus,87,71.4,adult,female,2016
Artibeus lituratus,74,70.6,juvenile,male,2016
Artibeus lituratus,77,70.9,juvenile,female,2016
Artibeus lituratus,81,73.9,juvenile,female,2016
Artibeus lituratus,72,69.1,juvenile,male,2016
Artibeus lituratus,69,69,juvenile,male,2016
Artibeus lituratus,72,73.9,adult,female,2016
Artibeus lituratus,66,70.3,juvenile,male,2016
Artibeus lituratus,77,71.6,juvenile,female,2016
Artibeus lituratus,72,72.5,juvenile,female,2016
Artibeus lituratus,80,74.5,adult,female,2016
Artibeus lituratus,69,71.1,juvenile,male,2016
Artibeus lituratus,70,70.7,adult,male,2016
Artibeus lituratus,71,71.2,juvenile,male,2016
Artibeus lituratus,83,71.6,adult,male,2016
Artibeus lituratus,69,69.7,adult,female,2016
Artibeus lituratus,77,70.4,adult,female,2016
Artibeus lituratus,75,70.2,adult,male,2016
Artibeus lituratus,74,70,adult,male,2016
Artibeus lituratus,78,72,juvenile,male,2016
Artibeus lituratus,91,72.3,adult,female,2016
Artibeus lituratus,78,79.7,adult,female,2016
Artibeus lituratus,75,70.4,adult,female,2016
Artibeus lituratus,89,76.6,adult,female,2016
Artibeus lituratus,80,75.3,adult,female,2016
Artibeus lituratus,72,71.8,adult,male,2016
Artibeus lituratus,78,75.6,adult,female,2016
Artibeus lituratus,80,70.5,adult,female,2016
Artibeus lituratus,72,69.2,adult,female,2016
Artibeus lituratus,80,74.2,adult,male,2016
Artibeus lituratus,92,74.2,adult,female,2016
Artibeus lituratus,64,69.2,juvenile,male,2016
Artibeus lituratus,72,69.8,adult,male,2016
Artibeus lituratus,84,71.1,adult,female,2016
Artibeus lituratus,84,71.6,adult,female,2016
Artibeus lituratus,83,73.4,adult,female,2016
Artibeus lituratus,89,71.7,adult,male,2016
Artibeus lituratus,64,66.6,adult,male,2016
Artibeus lituratus,72,67.2,adult,male,2016
Artibeus lituratus,72,70.7,adult,male,2016
Artibeus lituratus,74,71.1,adult,female,2016
Artibeus lituratus,101,74.4,adult,female,2016
Artibeus lituratus,81,71.8,adult,female,2016
Artibeus lituratus,101,74.6,adult,female,2016
Artibeus lituratus,71,72.5,adult,male,2016
Artibeus lituratus,82,74.1,adult,female,2016
Artibeus lituratus,67,73.2,adult,male,2016
Artibeus lituratus,70,68.1,adult,male,2016
Artibeus lituratus,81,72.1,adult,female,2016
Artibeus lituratus,82,71.8,adult,female,2016
Artibeus lituratus,90,74,adult,female,2017
Artibeus lituratus,88,71.1,adult,female,2017
Artibeus lituratus,82,75.3,adult,male,2017
Artibeus lituratus,98,73.9,adult,female,2017
Artibeus lituratus,75,70.1,adult,male,2017
Artibeus lituratus,79,73.6,adult,male,2017
Artibeus lituratus,75,74.6,juvenile,female,2017
Artibeus lituratus,97,73.9,adult,female,2017
Artibeus lituratus,86,72.9,juvenile,male,2017
Artibeus lituratus,77,72.9,juvenile,male,2017
Artibeus lituratus,81,71.8,adult,female,2017
Artibeus lituratus,77,74.5,adult,female,2017
Artibeus lituratus,91,73.1,adult,female,2017
Artibeus lituratus,89,74.5,adult,female,2017
Artibeus lituratus,80,68.6,adult,female,2017
Artibeus lituratus,68,73.4,adult,male,2012
Artibeus lituratus,70,71,adult,male,2012
Artibeus lituratus,78,73.6,adult,male,2012
Artibeus lituratus,66,70.8,juvenile,female,2012
Artibeus lituratus,76,72.3,adult,male,2012
Artibeus lituratus,64,73.9,juvenile,female,2012
Artibeus lituratus,72,70.5,adult,male,2012
Artibeus lituratus,62,71.8,juvenile,female,2012
Artibeus lituratus,69,72.1,adult,male,2012
Artibeus lituratus,52,70.1,juvenile,male,2012
Artibeus lituratus,82,72.4,adult,male,2012
Artibeus lituratus,77,70.7,adult,male,2012
Artibeus lituratus,72,70,adult,male,2012
Artibeus lituratus,60,73.6,adult,male,2012
Artibeus lituratus,69,70.8,adult,male,2012
Artibeus lituratus,71,71.1,adult,male,2012
Artibeus lituratus,78,72.9,adult,female,2012
Artibeus lituratus,68,75.6,juvenile,female,2012
Artibeus lituratus,66,72.5,adult,male,2012
Artibeus lituratus,68,72.7,juvenile,male,2012
Artibeus lituratus,71,72.1,adult,female,2012
Artibeus lituratus,87,73.2,adult,female,2012
Artibeus lituratus,74,73.4,adult,female,2012
Artibeus lituratus,66,72.4,adult,male,2012
Artibeus lituratus,80,72.8,adult,female,2012
Artibeus lituratus,68,69.7,adult,male,2012
Artibeus lituratus,80,72.3,adult,female,2012
Artibeus lituratus,78,70.1,adult,male,2012
Artibeus lituratus,76,69,juvenile,female,2012
Artibeus lituratus,80,71.3,adult,male,2012
Artibeus lituratus,62,70.6,adult,male,2012
Artibeus lituratus,92,72.1,adult,female,2013
Artibeus lituratus,64,66.3,juvenile,female,2013
Artibeus lituratus,64,70.5,adult,male,2013
Artibeus lituratus,76,71.7,adult,male,2013
Artibeus lituratus,82,71.9,adult,male,2013
Artibeus lituratus,96,74.7,adult,female,2013
Artibeus lituratus,68,72.5,adult,male,2013
Artibeus lituratus,78,72.7,adult,female,2013
Artibeus lituratus,62,71.6,juvenile,female,2013
Artibeus lituratus,77,71.4,adult,female,2013
Artibeus lituratus,72,72.4,adult,male,2013
Artibeus lituratus,74,75.1,adult,female,2013
Artibeus lituratus,74,72.7,adult,male,2013
Artibeus lituratus,62,70.2,adult,female,2013
Artibeus lituratus,78,68.6,adult,female,2013
Artibeus lituratus,80,72,adult,female,2013
Artibeus lituratus,60,70.5,juvenile,female,2013
Artibeus lituratus,66,72.3,adult,male,2013
Artibeus lituratus,65,68.9,adult,male,2013
Artibeus lituratus,62,67.8,juvenile,male,2013
Artibeus lituratus,86,73.2,adult,female,2013
Artibeus lituratus,80,71,adult,female,2013
Artibeus lituratus,62,71.6,juvenile,female,2013
Artibeus lituratus,68,72,juvenile,female,2013
Artibeus lituratus,80,70.8,adult,male,2013
Artibeus lituratus,78,72.2,adult,female,2013
Artibeus lituratus,78,72.1,adult,male,2013
Artibeus lituratus,68,74.2,adult,female,2013
Artibeus lituratus,70,72.2,adult,female,2013
Artibeus lituratus,68,71.1,adult,male,2013
Artibeus lituratus,78,69.1,adult,male,2013
Artibeus lituratus,78,72,adult,female,2013
Artibeus lituratus,69,67,adult,male,2013
Artibeus lituratus,60,67.3,adult,male,2013
Artibeus lituratus,72,72.8,adult,female,2013
Artibeus lituratus,70,71.6,adult,female,2013
Artibeus lituratus,70,71.4,adult,female,2013
Artibeus lituratus,78,72.3,adult,female,2013
Artibeus lituratus,87,72.9,adult,female,2013
Artibeus lituratus,100,74.4,adult,female,2013
Artibeus lituratus,76,70,adult,female,2013
Artibeus lituratus,76,71,adult,male,2013
Artibeus lituratus,82,74.3,adult,female,2013
Artibeus lituratus,72,71.4,adult,female,2013
Artibeus lituratus,62,68,juvenile,male,2013
Artibeus lituratus,80,73.6,adult,female,2013
Artibeus lituratus,90,71.2,adult,female,2013
Artibeus lituratus,80,70,adult,female,2013
Artibeus lituratus,90,72.5,adult,female,2013
Artibeus lituratus,75,74,adult,female,2013
Artibeus lituratus,75,71.45,adult,female,2013
Artibeus lituratus,52,70.35,juvenile,male,2013
Artibeus lituratus,96,70.5,adult,male,2013
Artibeus lituratus,72,72.9,adult,male,2011
Artibeus lituratus,85,73.7,adult,female,2011
Artibeus lituratus,81,68.8,adult,male,2011
Artibeus lituratus,74,70.2,adult,male,2011
Artibeus lituratus,70,72.4,adult,male,2011
Artibeus lituratus,85,73.6,adult,female,2011
Artibeus lituratus,64,73.3,adult,male,2011
Artibeus lituratus,66,71,adult,male,2011
Artibeus lituratus,67,68.9,adult,male,2011
Artibeus lituratus,76,70.7,adult,female,2011
Artibeus lituratus,70,70.05,adult,female,2011
Artibeus lituratus,90,71.5,adult,female,2012
Artibeus lituratus,46,68.8,juvenile,male,2012
Artibeus lituratus,55,70.1,juvenile,male,2012
Artibeus lituratus,64,68.45,adult,male,2012
Artibeus lituratus,74,73.1,adult,male,2012
Artibeus lituratus,62,73.4,juvenile,male,2012
Artibeus lituratus,67,70.3,adult,male,2012
Artibeus lituratus,73,72.3,adult,female,2012
Artibeus lituratus,73,72.6,adult,female,2012
Artibeus lituratus,77,73.4,adult,female,2012
Artibeus lituratus,76,76.1,adult,male,2012
Artibeus lituratus,72,73.5,adult,female,2012
Artibeus lituratus,68,72.34,adult,male,2013
Artibeus lituratus,73,71.5,adult,male,2013
Artibeus lituratus,84,71.05,adult,female,2013
Artibeus lituratus,71,74.37,adult,female,2013
Artibeus lituratus,82,72.18,adult,female,2013
Artibeus lituratus,67,72.9,adult,female,2013
Artibeus lituratus,70,69.88,adult,female,2013
Artibeus lituratus,69,69.12,adult,male,2014
Artibeus lituratus,70,74.51,adult,male,2014
Artibeus lituratus,65,66.75,adult,female,2014
Artibeus lituratus,81,74.2,adult,female,2014
Artibeus lituratus,66,68.95,adult,male,2014
Artibeus lituratus,71,72.36,adult,female,2014
Artibeus lituratus,70,68.25,adult,male,2014
Artibeus lituratus,68,72.47,adult,female,2014
Artibeus lituratus,54,65.29,adult,female,2014
Artibeus lituratus,69,67.12,adult,female,2014
Artibeus lituratus,48,61.45,adult,female,2014
Artibeus lituratus,74,69.11,adult,male,2014
Artibeus lituratus,77,75.1,adult,male,2014
Artibeus lituratus,62,72.27,juvenile,male,2014
Artibeus lituratus,55,72.42,adult,female,2014
Artibeus lituratus,68,73.33,juvenile,female,2014
Artibeus lituratus,63,70.24,adult,male,2014
Artibeus lituratus,78,74.11,adult,female,2014
Artibeus lituratus,70,71.83,adult,male,2014
Artibeus lituratus,72,70.37,adult,male,2014
Artibeus lituratus,76,73.72,adult,female,2014
Artibeus lituratus,62,65.4,adult,male,2014
Artibeus lituratus,77,73.24,adult,female,2014
Artibeus lituratus,77,72.41,adult,female,2014
Artibeus obscurus,48,60.1,adult,female,2013
Artibeus obscurus,35,57.2,adult,male,2014
Artibeus obscurus,34,57.6,adult,male,2014
Artibeus obscurus,37,60.5,adult,female,2015
Artibeus obscurus,36,59.3,juvenile,female,2015
Artibeus obscurus,35,57.7,adult,male,2015
Artibeus obscurus,54,63,adult,female,2016
Artibeus obscurus,57,63.5,adult,male,2010
Artibeus obscurus,38,59.4,adult,male,2011
Artibeus obscurus,38,56.9,adult,female,2013
Artibeus obscurus,35,56.5,adult,male,2013
Artibeus obscurus,52,60.4,adult,female,2013
Artibeus obscurus,49,58.1,adult,female,2013
Artibeus obscurus,40,60.1,adult,male,2013
Artibeus obscurus,39,57.4,adult,female,2013
Artibeus obscurus,40,57.2,adult,male,2013
Artibeus obscurus,49,58.9,adult,female,2013
Artibeus obscurus,40,55.6,adult,female,2013
Artibeus obscurus,30,57.3,adult,male,2013
Artibeus obscurus,38,58.9,adult,male,2013
Artibeus obscurus,59,60.7,adult,female,2013
Artibeus obscurus,40,58.6,adult,male,2013
Artibeus obscurus,35,57.1,adult,male,2013
Artibeus obscurus,37,57.6,adult,male,2013
Artibeus obscurus,39,60.8,adult,male,2013
Artibeus obscurus,52,58.6,adult,female,2013
Artibeus obscurus,35,56.9,adult,male,2013
Artibeus obscurus,37,58.8,adult,male,2013
Artibeus obscurus,56,58.3,adult,female,2013
Artibeus obscurus,47,60.3,adult,male,2014
Artibeus obscurus,38,56.3,adult,male,2014
Artibeus obscurus,43,56.7,adult,female,2014
Artibeus obscurus,39,58.9,adult,female,2014
Artibeus obscurus,56,58.1,adult,female,2014
Artibeus obscurus,41,60.9,adult,male,2014
Artibeus obscurus,39,57.5,adult,male,2014
Artibeus obscurus,37,67.4,adult,male,2014
Artibeus obscurus,37,58.6,adult,male,2014
Artibeus obscurus,41,58.7,adult,male,2014
Artibeus obscurus,36,56.8,adult,male,2014
Artibeus obscurus,36,60.1,juvenile,female,2014
Artibeus obscurus,42,57.6,adult,female,2014
Artibeus obscurus,42,59.3,adult,female,2014
Artibeus obscurus,37,57.6,adult,male,2014
Artibeus obscurus,39,58.9,adult,male,2014
Artibeus obscurus,39,58.1,adult,male,2014
Artibeus obscurus,35,58.6,adult,female,2014
Artibeus obscurus,38,59.1,adult,female,2014
Artibeus obscurus,38,59.3,adult,male,2014
Artibeus obscurus,37,59.8,juvenile,female,2014
Artibeus obscurus,31,57.8,juvenile,male,2014
Artibeus obscurus,39,57.1,adult,male,2014
Artibeus obscurus,36,58.7,juvenile,female,2014
Artibeus obscurus,32,58.2,juvenile,male,2014
Artibeus obscurus,39,59.1,adult,female,2014
